link,star,city
/vi-vn/hotel/vietnam/muong-thanh-luxury-bac-ninh-hotel-1000000735441,4,Bac Ninh
/vi-vn/hotel/vietnam/le-indochina-hotel--spa-3000020006612,4,Bac Ninh
/vi-vn/hotel/vietnam/phoenix-resort-bac-ninh-1000000836542,4,Bac Ninh
/vi-vn/hotel/vietnam/mandala-hotel--spa-bac-ninh-3000020017322,4,Bac Ninh
/vi-vn/hotel/vietnam/amy-dongdo-plaza-hotel-9000000962991,4,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-royal-hotel-9000000956914,4,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-uri-hotel-3000020012526,3,Bac Ninh
/vi-vn/hotel/vietnam/lavender-hotel--apartment-1000001691800,3,Bac Ninh
/vi-vn/hotel/vietnam/center-hotel-bac-ninh-1000000626768,3,Bac Ninh
/vi-vn/hotel/vietnam/victory-hotel-bac-ninh-3000020008554,3,Bac Ninh
/vi-vn/hotel/vietnam/hung-long-hotel-3000020007518,3,Bac Ninh
/vi-vn/hotel/vietnam/hana-2-apartment--hotel-bac-ninh-3000020012357,3,Bac Ninh
/vi-vn/hotel/vietnam/tu-son-luxury-hotel-1000000622446,3,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-charming-hotel-3000020012453,3,Bac Ninh
/vi-vn/hotel/vietnam/hana-1-apartment--hotel-bac-ninh-1000000678023,3,Bac Ninh
/vi-vn/hotel/vietnam/ninh-phong-hotel-4000000963514,3,Bac Ninh
/vi-vn/hotel/vietnam/amy-hotel-bac-ninh-3000020020676,3,Bac Ninh
/vi-vn/hotel/vietnam/gold-business-hotel-9000000531939,3,Bac Ninh
/vi-vn/hotel/vietnam/khach-san-hoang-gia-bac-ninh-1000000621707,3,Bac Ninh
/vi-vn/hotel/vietnam/bacninh-harmony-hotel-1000000949059,3,Bac Ninh
/vi-vn/hotel/vietnam/grand-phoenix-hotel-bac-ninh-9000000728801,3,Bac Ninh
/vi-vn/hotel/vietnam/the-grand-hotel-4000001054940,3,Bac Ninh
/vi-vn/hotel/vietnam/phoenix-3-international-hotel-4000000850962,3,Bac Ninh
/vi-vn/hotel/vietnam/hello-hotel-4000000948213,3,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-venus-hotel-9000000459581,3,Bac Ninh
/vi-vn/hotel/vietnam/gia-bao-hotel-1000001060067,3,Bac Ninh
/vi-vn/hotel/vietnam/indochina-legend-hotel-1000000920540,3,Bac Ninh
/vi-vn/hotel/vietnam/queen-hotel-bac-ninh-3000020017469,3,Bac Ninh
/vi-vn/hotel/vietnam/nasa-international-hotel-3000020016616,3,Bac Ninh
/vi-vn/hotel/vietnam/the-grand-hotel-4000000476022,3,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-vienna-hotel-9000000233000,3,Bac Ninh
/vi-vn/hotel/vietnam/diamond-bac-ninh-hotel-9000000232989,3,Bac Ninh
/vi-vn/hotel/vietnam/jc-korea-hotel-3000020015583,3,Bac Ninh
/vi-vn/hotel/vietnam/wilton-hotel-9000000337280,3,Bac Ninh
/vi-vn/hotel/vietnam/lien-son-apartment-4000000872197,3,Bac Ninh
/vi-vn/hotel/vietnam/sunshine-hotel-4000001082126,3,Bac Ninh
/vi-vn/hotel/vietnam/dream-vinh-hoa-hotel-3000020002933,2,Bac Ninh
/vi-vn/hotel/vietnam/soo-hotel-bac-ninh-3000020012781,2,Bac Ninh
/vi-vn/hotel/vietnam/anh-hoang-phuc-hotel-4000000922629,2,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-nara-hotel-9000000369709,2,Bac Ninh
/vi-vn/hotel/vietnam/hoang-gia-hotel-bac-ninh-9000000806452,2,Bac Ninh
/vi-vn/hotel/vietnam/marina-hotel-bac-ninh-3000020017781,2,Bac Ninh
/vi-vn/hotel/vietnam/hotel-phuong-nam-9000000571439,2,Bac Ninh
/vi-vn/hotel/vietnam/will-hotel-9000000875280,2,Bac Ninh
/vi-vn/hotel/vietnam/tu-son-luxury-2-hotel-9000000971554,2,Bac Ninh
/vi-vn/hotel/vietnam/cat-tuong-hotel-9000001069450,2,Bac Ninh
/vi-vn/hotel/vietnam/bac-ninh-homestay-3000020008575,1,Bac Ninh
/vi-vn/hotel/vietnam/jungle-house-3000010033862,1,Bac Ninh
/vi-vn/hotel/vietnam/anh-tuan-hotel-9000000975278,1,Bac Ninh
/vi-vn/hotel/vietnam/rio-hotel-bac-ninh-9000000969518,1,Bac Ninh
