id,language,rating,additionalRatings,createdDate,helpfulVotes,username,userId,title,text,locationId,parentGeoId,hotelName,stayDate,tripType,en_review
666232329,vi,3,"[{'rating': 3, 'ratingLabel': 'Địa điểm'}, {'rating': 3, 'ratingLabel': 'Sự sạch sẽ'}, {'rating': 3, 'ratingLabel': 'Dịch vụ'}]",2019-04-14,0,DutchBrother,16D1412898FEFA137D8758711F91796F,một khách sạn phong nha với giá cả hợp lý,"Đây có lẽ là khách sạn tốt nhất trong khu vực, không nói nhiều. Phòng rộng và giường khá thoải mái. AC là một trong những đơn vị quạt gắn trên tường, qua lại, vì vậy phải mất một thời gian để làm mát căn phòng, nhưng nó hoạt động. Chỉ cần cho nó thời gian. AC rất quan trọng khi mức cao hàng ngày là 95. Có hai ghế ngồi và một bàn nhỏ nơi bạn có thể ăn bữa ăn phục vụ phòng của bạn. Có khoảng 20 mặt hàng phục vụ phòng, tất cả người Việt Nam trừ mì spaghetti với sốt thịt. Có bàn và ghế làm việc, không thoải mái chút nào. Đây không thực sự là một khách sạn kinh doanh, mặc dù wifi khá tốt. Không có cửa hàng quốc tế (Hoa Kỳ), vì vậy hãy mang theo một bộ chuyển đổi. Khách sạn không có bất kỳ. Vòi hoa sen hoạt động đủ tốt. Đó là một phòng tắm hiện đại, tiêu chuẩn phương Tây. Các nhân viên hầu như không thể nói tiếng Anh. Họ lịch sự và cố gắng giúp đỡ, nhưng ngôn ngữ là một rào cản thực sự. Bữa sáng tự chọn hoàn toàn là của người Việt Nam, không có thức ăn kiểu phương Tây, ngoại trừ một ít phô mai và thịt. Nó nằm ở trung tâm thành phố, nhưng thực sự không có nhiều thứ để xem xung quanh thành phố này. Nếu bạn định ở lại thành phố này, tôi muốn giới thiệu nó, nhưng tại sao bạn lại muốn ở lại thành phố này?",12607180,1627698,Sao Mai Hotel,2019-04-30,BUSINESS,"Đây có lẽ là khách sạn tốt nhất trong khu vực, không nói nhiều. Phòng rộng và giường khá thoải mái. AC là một trong những đơn vị quạt gắn trên tường, qua lại, vì vậy phải mất một thời gian để làm mát căn phòng, nhưng nó hoạt động. Chỉ cần cho nó thời gian. AC rất quan trọng khi mức cao hàng ngày là 95. Có hai ghế ngồi và một bàn nhỏ nơi bạn có thể ăn bữa ăn phục vụ phòng của bạn. Có khoảng 20 mặt hàng phục vụ phòng, tất cả người Việt Nam trừ mì spaghetti với sốt thịt. Có bàn và ghế làm việc, không thoải mái chút nào. Đây không thực sự là một khách sạn kinh doanh, mặc dù wifi khá tốt. Không có cửa hàng quốc tế (Hoa Kỳ), vì vậy hãy mang theo một bộ chuyển đổi. Khách sạn không có bất kỳ. Vòi hoa sen hoạt động đủ tốt. Đó là một phòng tắm hiện đại, tiêu chuẩn phương Tây. Các nhân viên hầu như không thể nói tiếng Anh. Họ lịch sự và cố gắng giúp đỡ, nhưng ngôn ngữ là một rào cản thực sự. Bữa sáng tự chọn hoàn toàn là của người Việt Nam, không có thức ăn kiểu phương Tây, ngoại trừ một ít phô mai và thịt. Nó nằm ở trung tâm thành phố, nhưng thực sự không có nhiều thứ để xem xung quanh thành phố này. Nếu bạn định ở lại thành phố này, tôi muốn giới thiệu nó, nhưng tại sao bạn lại muốn ở lại thành phố này?"
332052294,en,1,"[{'rating': 2, 'ratingLabel': 'Địa điểm'}, {'rating': 4, 'ratingLabel': 'Dịch vụ'}, {'rating': 2, 'ratingLabel': 'Giấc ngủ'}]",2015-12-11,2,Jamesdrink,769F6E64680DE69A67255208AA29A96A,Big construction site next door rather spoils the ambience!,"The resort itself is basically fine - the staff try their best. BUT if you want peace and quiet, go somewhere else. It's in short supply here. There are actually 2 building sites next to it and many noisy trucks going to and fro. Leave it at least a few months and maybe there'll be finished. Then again, this is Vietnam so who knows.",7827627,469418,Wild Beach Phu Quoc Resort,2015-12-31,FRIENDS,"The resort itself is basically fine - the staff try their best. BUT if you want peace and quiet, go somewhere else. It's in short supply here. There are actually 2 building sites next to it and many noisy trucks going to and fro. Leave it at least a few months and maybe there'll be finished. Then again, this is Vietnam so who knows."
748806118,en,4,"[{'rating': 3, 'ratingLabel': 'Giá trị'}, {'rating': 3, 'ratingLabel': 'Địa điểm'}, {'rating': 3, 'ratingLabel': 'Dịch vụ'}]",2020-03-03,0,clairec532,99F9D3BDD8CB429FA400B9930CC26F81,Beautiful place but lacking a good vibe....,"This place is beautifully set out amongst the trees on the beach and the rooms are very comfortable and the salt water pool in particular is gorgeous. It is a big place with lots of rooms spread out over a large area, which we found a bit challenging with our family - it was easy to lose people and spend a lot of time walking around trying to find them...! And also the largeness of the place made it feel a bit impersonal and didn't help to create a relaxed vibe. The beach itself is miles of golden sand and the area in front of the hotel is kept mostly free from rubbish, however, further up the beach and when you swim, there is plenty of plastic. The sea itself is quite wavy and so fun for splashing but not great for long distance swimming and also isn't turquoise blue, probably due to silt from the Mekong. There are plenty of facilities at the hotel, pool table, tennis, fishing, yoga class. We found the staff to be generally friendly but not very engaged, it seemed like they were gong through the motions which created a slightly disappointing vibe around the place. The restaurant served good food and the value wasn't too bad but the restaurant is far away from the beach and the atmosphere seemed a little bland so we ended up going out to the nearby town a couple of the nights and eating in a very lively local restaurant. We also had an issue whereby on booking our preferred room option was not available but we were promised that our room would be changed should our cheaper option become available. We then found out before arriving that our preferred option had been available but our booking had not been amended. When we brought this up on check in, there didn't seem to be much understanding of the issue and we were not offered any discounted price to compensate for them not fulfilling their promise to amend our booking. Overall we enjoyed our stay and were certainly very comfortable but we weren't mad on the vibe....",1174442,2549585,Khu nghỉ dưỡng & Spa Bãi Biển Hồ Tràm,2020-02-29,NONE,"This place is beautifully set out amongst the trees on the beach and the rooms are very comfortable and the salt water pool in particular is gorgeous. It is a big place with lots of rooms spread out over a large area, which we found a bit challenging with our family - it was easy to lose people and spend a lot of time walking around trying to find them...! And also the largeness of the place made it feel a bit impersonal and didn't help to create a relaxed vibe. The beach itself is miles of golden sand and the area in front of the hotel is kept mostly free from rubbish, however, further up the beach and when you swim, there is plenty of plastic. The sea itself is quite wavy and so fun for splashing but not great for long distance swimming and also isn't turquoise blue, probably due to silt from the Mekong. There are plenty of facilities at the hotel, pool table, tennis, fishing, yoga class. We found the staff to be generally friendly but not very engaged, it seemed like they were gong through the motions which created a slightly disappointing vibe around the place. The restaurant served good food and the value wasn't too bad but the restaurant is far away from the beach and the atmosphere seemed a little bland so we ended up going out to the nearby town a couple of the nights and eating in a very lively local restaurant. We also had an issue whereby on booking our preferred room option was not available but we were promised that our room would be changed should our cheaper option become available. We then found out before arriving that our preferred option had been available but our booking had not been amended. When we brought this up on check in, there didn't seem to be much understanding of the issue and we were not offered any discounted price to compensate for them not fulfilling their promise to amend our booking. Overall we enjoyed our stay and were certainly very comfortable but we weren't mad on the vibe...."
623890826,en,3,[],2018-10-10,2,mirandagiuliano82,119C27D3A641E7ED5DA525467807D800,Still a long way before an efficient resort ,"We purchased our stay at VinOasis through Luxury Escapes for a really great deal. However what they don’t tell you is that more than half of the hotel is not open. There is only one restaurant to eat from for breakfast, lunch and dinner even though the website offers a number of different ones and cuisines. While the food is relatively nice you get very sick of buffet food for all three meals of the day. Not a complaint but more of an observation, there is very little English spoken which makes communication very hard, again not a complaint as it is a foreign country. The hotel itself is very unorganised, let’s start with check in. When you arrive you are asked to sit down in the foyer while they check you in with out you. So you sit there and wait for an hour to be finally called up to see that they have checked you in incorrectly. We had two families travelling together and my daughter was checked in with the other family so we had to go through check in again. The bar services are slow and you when you think you have paid in full at end of day you get a knock on your door to pay more, very hard to keep track of. Also the Casino was not open. There are only two ATMs on site and you can only draw out 2000000 dong per day which is about $120 aud. The pool and pool bar was really lovely and the staff were great just unorganised as above mentioned. The kids water park is not very good unless your child is over 140cm. Anything under that and they are restricted to the kids park which is fine but adults can’t go on that, so I never once got to go down a slide or enjoy any of the park with my 5 yo. The lifeguards love their whistles and whistle at you for everything and I mean everything. They also have control issues over beach towels, it’s just a towel and it’s not leaving the resort, jeez. They have electric cars to take you around the place such as the spa (which you cannot walk to even though there are signs) and places like vin safari and vinpearl land. There isn’t really much to do as you are also quite far from town and the airport so you are restricted to hotel at night, but they will order a cab for you. The vin safari was freaking amazing and would highly recommend this. Vinpearlland was nice, on the day we went most of it was closed, only two rides available for kids under 140cm. Aquarium there is really good also. The waterpark at Vinpearlland was bloody excellent for the kids and had a lot more slides than the resort. Don’t get me wrong this is a nice place and in couple of years could be a well established resort but right now they have teething issues and they could relax a little. When we were there there was only 500 guests but they can cater up to 1200, they will struggle with service if they don’t get more organised and simplify there processes.",12393526,469418,VinOasis Phu Quoc,2018-10-31,NONE,"We purchased our stay at VinOasis through Luxury Escapes for a really great deal. However what they don’t tell you is that more than half of the hotel is not open. There is only one restaurant to eat from for breakfast, lunch and dinner even though the website offers a number of different ones and cuisines. While the food is relatively nice you get very sick of buffet food for all three meals of the day. Not a complaint but more of an observation, there is very little English spoken which makes communication very hard, again not a complaint as it is a foreign country. The hotel itself is very unorganised, let’s start with check in. When you arrive you are asked to sit down in the foyer while they check you in with out you. So you sit there and wait for an hour to be finally called up to see that they have checked you in incorrectly. We had two families travelling together and my daughter was checked in with the other family so we had to go through check in again. The bar services are slow and you when you think you have paid in full at end of day you get a knock on your door to pay more, very hard to keep track of. Also the Casino was not open. There are only two ATMs on site and you can only draw out 2000000 dong per day which is about $120 aud. The pool and pool bar was really lovely and the staff were great just unorganised as above mentioned. The kids water park is not very good unless your child is over 140cm. Anything under that and they are restricted to the kids park which is fine but adults can’t go on that, so I never once got to go down a slide or enjoy any of the park with my 5 yo. The lifeguards love their whistles and whistle at you for everything and I mean everything. They also have control issues over beach towels, it’s just a towel and it’s not leaving the resort, jeez. They have electric cars to take you around the place such as the spa (which you cannot walk to even though there are signs) and places like vin safari and vinpearl land. There isn’t really much to do as you are also quite far from town and the airport so you are restricted to hotel at night, but they will order a cab for you. The vin safari was freaking amazing and would highly recommend this. Vinpearlland was nice, on the day we went most of it was closed, only two rides available for kids under 140cm. Aquarium there is really good also. The waterpark at Vinpearlland was bloody excellent for the kids and had a lot more slides than the resort. Don’t get me wrong this is a nice place and in couple of years could be a well established resort but right now they have teething issues and they could relax a little. When we were there there was only 500 guests but they can cater up to 1200, they will struggle with service if they don’t get more organised and simplify there processes."
673664325,en,5,[],2019-05-13,0,ElinaMR,2A0AAE69E85B6E474C3166DC4A301665,Welcoming ,"Chez Carole provides a relaxing atmosphere and welcoming staff. The resort is naturally located close to the beach (maybe 50 meters) from the restaurant. Which also provides top class food and service. This hotel is perfect both for couples, families, and lone travelers. Staff is very good in English so don't hesitate to contact them, they will help you out.",2080745,469418,Chez Carole Beach Resort,2018-12-31,COUPLES,"Chez Carole provides a relaxing atmosphere and welcoming staff. The resort is naturally located close to the beach (maybe 50 meters) from the restaurant. Which also provides top class food and service. This hotel is perfect both for couples, families, and lone travelers. Staff is very good in English so don't hesitate to contact them, they will help you out."
641326209,vi,1,[],2018-12-24,0,mikkou980,A045D0D68F2FB85961DF0623C0A9A7DE,Nơi khủng khiếp,Đừng nhìn ảnh! Đây không phải là khách sạn! Rất xa và họ không có dịch vụ nào. Bạn có đồ ăn và đồ uống riêng vì mọi nơi sẽ đóng cửa sớm như vậy. Họ không thể thiếu tiếng Anh. Tôi đã đến từ châu Á và đó là lần đầu tiên khi loại này xảy ra,1146090,2640774,Khu nghỉ dưỡng và Spa Wild Beachs,2018-12-31,FRIENDS,Đừng nhìn ảnh! Đây không phải là khách sạn! Rất xa và họ không có dịch vụ nào. Bạn có đồ ăn và đồ uống riêng vì mọi nơi sẽ đóng cửa sớm như vậy. Họ không thể thiếu tiếng Anh. Tôi đã đến từ châu Á và đó là lần đầu tiên khi loại này xảy ra
413096619,en,3,[],2016-08-31,0,Simmi81,A3C4DFB8BB2BC275C395D2C45F0CD630,Given up on greatness? ,"Beautiful, quiet spot. A place you could really sit back and relax, unless your mind was concerned with things it shouldn't be concerned with, such as: - why the fridge isn't working - why the tv isn't working - what is and isn't included in the package because it's not all that clear and it takes a while for the staff to get on the same page as well - why it takes so long to get a drink - where all the other people are? I appreciate the solitude but it's a bit of a ghost town here on this, our first day - how to explain to all these sweet and friendly people that you just want things to be easy but so far they haven't been The staff have made plenty of lovely gestures towards us but unfortunately it's not enough to shake the vibe of this resort as a bit of a washed-up has-been. We will enjoy our time, no doubt, as we really only came here to swim and laze about. But it lacks the polish of other hotels and is therefore not what i expected. We will contact guest services in the morning regarding the maintenance issues. Room 3210.",3504912,11909288,Angsana Lang Co Vietnam,2016-08-31,COUPLES,"Beautiful, quiet spot. A place you could really sit back and relax, unless your mind was concerned with things it shouldn't be concerned with, such as: - why the fridge isn't working - why the tv isn't working - what is and isn't included in the package because it's not all that clear and it takes a while for the staff to get on the same page as well - why it takes so long to get a drink - where all the other people are? I appreciate the solitude but it's a bit of a ghost town here on this, our first day - how to explain to all these sweet and friendly people that you just want things to be easy but so far they haven't been The staff have made plenty of lovely gestures towards us but unfortunately it's not enough to shake the vibe of this resort as a bit of a washed-up has-been. We will enjoy our time, no doubt, as we really only came here to swim and laze about. But it lacks the polish of other hotels and is therefore not what i expected. We will contact guest services in the morning regarding the maintenance issues. Room 3210."
576528414,vi,1,[],2018-04-29,0,fuzisan1583,2782079301A653DEE8C8C4AD3CB9A5CB,Khach san hoang gia ca mau bỏ bom khách,"Tôi đã đặt phòng ở khách sạn Hoàng Gia trước khi đến Cà Mau.1h sáng đến nơi thì báo hết phòng.Lễ tân đêm đổ lỗi lễ tân ngày ko bàn giao?????Quá không chuyên nghiêp, ko quan tâm lợi ích của k.hàng.quá tệ hại",7194410,1568668,Khách sạn Hoàng Gia,2018-04-30,FAMILY,"Tôi đã đặt phòng ở khách sạn Hoàng Gia trước khi đến Cà Mau.1h sáng đến nơi thì báo hết phòng.Lễ tân đêm đổ lỗi lễ tân ngày ko bàn giao?????Quá không chuyên nghiêp, ko quan tâm lợi ích của k.hàng.quá tệ hại"
752617906,de,3,[],2020-04-14,2,dorliGraz,F84476708BAA507EAFF6CDB1A9F5F8B1,Direkt am Mekong,"Schöne gemütliche Anlage, mit kleinen Häusern, eher einfacher eingerichtet, mit offenen Bad, sehr angenehm. Das Essen war auch in Ordnung, und wurde auf der Terrasse mit Aussicht direkt auf den Mekong, Sonnenuntergang und Schiffen angeboten. Das Personal war ausgesprochen bemüht und freundlich.",3511670,737085,Mango Home Riverside,2020-03-31,FRIENDS,"Schöne gemütliche Anlage, mit kleinen Häusern, eher einfacher eingerichtet, mit offenen Bad, sehr angenehm. Das Essen war auch in Ordnung, und wurde auf der Terrasse mit Aussicht direkt auf den Mekong, Sonnenuntergang und Schiffen angeboten. Das Personal war ausgesprochen bemüht und freundlich."
744785549,es,5,[],2020-02-13,2,manuelb241,953E0E5D70715D76C3540E82388E44BE,Excelente hotel,Se trata de un magnífico hotel de habitaciones-Villas muy separadas con vistas en general al mar. El jardín es precioso y muy bien mantenido por lo 85 jardineros que tiene el hotel La playa enorme y las piscinas en cascada enormes y preciosas El servicio tremendamente agradable Ideal para pasar unos días de descanso Muy completos los desayunos Sin duda uno de los mejores resorts del mundo,634749,10487549,Khách sạn Nam Hải Hội An,2020-02-29,COUPLES,Se trata de un magnífico hotel de habitaciones-Villas muy separadas con vistas en general al mar. El jardín es precioso y muy bien mantenido por lo 85 jardineros que tiene el hotel La playa enorme y las piscinas en cascada enormes y preciosas El servicio tremendamente agradable Ideal para pasar unos días de descanso Muy completos los desayunos Sin duda uno de los mejores resorts del mundo
