cid,text,time,digg_count,reply_comment_total,user_id,user_nickname,user_unique_id,referer
7138829729632912155,"Vy tiếp nhận đc kiến thức này sớm quá, chúc mừng Vy🥰",2022-09-02 17:05:34,193,2,6580867349006745601,Thiên An,thienan4992,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139016298461954843,"văn hoá ng hoa, họ hiểu rất rõ điều này
cho nên ng bình dân nhìu khi có nhìu tiền lắm đó",2022-09-03 05:09:32,37,0,7074050640239232001,vivian,beautifulgirl012345,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139149078877356826,"ngẫm mà k biết buồn hay vui. Nhưng từ bé nếu hnay có chuyện gì may mắn, hay chuyện vui. Thì nhất định mấy ngày sau đó là có chuyện ngay. Hoặc",2022-09-03 13:44:44,13,7,6710822481718510593,Tiểu hồ ly,useryyqou5mlgm,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138748867454272282,nam mô a Di Đà Phật,2022-09-02 11:51:48,41,3,7038196396407784450,M.uyen,myuyen120505,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138764153376473882,Đúng r đấy vy ạ😂😂.,2022-09-02 12:51:02,23,0,6728012983635411970,Diep Max,diepmax2309,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138821915993113370,Ko phải nghĩ mà điều này đã đk dạy.,2022-09-02 16:35:15,14,2,6629498422191931394,💞Ngày An Lành Cho Em💞,ngay_anlanhchoem,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138971550054073115,""" lộc bất thụ hưởng"" 🥰",2022-09-03 02:16:00,7,1,7101465736518730753,Lagom 2711,lagom2711,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138995149447529243,"Đúng, mình khá may mắn từ bé nên giờ cũng rén",2022-09-03 03:47:27,6,0,6846408755891078146,Thái tử Pháp 🇻🇳,mr_ldphap,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138794041936249626,đr đấy,2022-09-02 14:46:59,6,0,6640664078044020737,√.√,anquainon,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139560926407344923,Từ nhỏ m luôn nghĩ nv . Nên m dù có đk vẫn ít kiểu hưởng thụ lắm . Và m vẫn đang dạy con m như vậy ❤️,2022-09-04 16:22:55,4,0,6769386390671197186,Ú🅣 🅗🅤ỳ🅝🅗,en_huynh_,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138803259984233242,Công nhận ạ 😁,2022-09-02 15:22:45,3,0,81206108174,HH🖤,mau_9.8,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139142311988495130,hưởng thụ gì mà áp lực quá,2022-09-03 13:18:27,1,0,6983885039528313857,FE_Flatearth,levy7065,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139022895703343898,@Myrna Au suy nghĩ hiện đại đó. Nếu ko tìm hiểu phật pháp chắc ít ai hiểu đc điều này,2022-09-03 05:35:07,2,0,6648476823066411010,N’Vega,n.vega6,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139069252140548891,Bán vòng tay và đá may mắn ko thích điều này 😂,2022-09-03 08:34:58,1,0,6913329891593176065,XiaoZuong,djkal80,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138975555388441370,@BelnHunter ba mẹ t cũng nói v á,2022-09-03 02:31:24,1,1,6991488167081870337,mongido,mongido,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139762566691603227,@Hoaf ồ,2022-09-05 05:25:24,1,0,6761030670666318849,Hu Mii,hm4939,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138793576067187483,nam mô a Di Đà Phật,2022-09-02 14:45:14,1,0,6536055098883473409,Linh Dong,linkoll_,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138787689381921563,Y như mình 😂,2022-09-02 14:22:21,1,0,6730143820816778242,Rio Family,riobebe0911,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138924617812542235,Nam Mô A Di Đà Phật. Mình sẽ luôn tích cực và làm việc chăm chỉ,2022-09-02 23:14:02,0,0,6869186210993308674,Trang_BoO,trang_bo0,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138983705645777691,Vợ yêu ơi 🥰,2022-09-03 03:03:06,0,0,6724941608557544449,HƯNG THỊNH VƯỢNG MEDIA,caotuanhungmedia,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138868863835751194,Đúng vậy đấy b,2022-09-02 19:38:02,0,0,6808983613032383490,Bống kute,bongkute2018,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138816289674511130,A di đà Phật 🙏,2022-09-02 16:13:26,0,0,6701326877263266818,A feng 💕☘️💕,phuongtong5,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138843289001034522,Chính xác,2022-09-02 17:58:23,0,0,7025198746921255937,Ăn chơi Vũng Tàu,sunnykusa87,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138802463276385050,chị nói đúng ạ,2022-09-02 15:19:41,0,0,7038852776684635138,meimei234,xamxidu9x,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139035396000351003,Chúc mừng Vy !!!! Em đã tỉnh thức,2022-09-03 06:23:36,0,0,6994975306264282114,Son Heung Min,dyrtueuowt4r,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139005766731776794,C thật mừng cho e vì e còn rất nhỏ tuổi mà đã hiểu được điều này,2022-09-03 04:28:38,0,0,6593129152646561794,Lê Quyên,lequyen.29,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139007194645922586,Tiếp tục mắc kẹt 😂😂,2022-09-03 04:34:13,0,0,6606970180474994690,Thuy Nguyen,30599640985,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138991905456014107,quá đúng,2022-09-03 03:34:58,0,0,6830957022974166017,daisytran666,daisytran666,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138982431420580635,C nói đúng ạ,2022-09-03 02:58:12,0,0,6624113560824627202,Thắm Trần,thamtran10,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139012306592285466,Đúng r ạ🥰,2022-09-03 04:54:03,0,0,7067858606083769370,linhle,user1963757737966,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7140242776541922050,"ai tìm hiểu về phật giáo thì sẽ ngộ ra đk rất nhiều điều,giúp tâm trí mh đk mở mang🥰",2022-09-06 12:29:46,0,0,6506772767962218498,Mộc Thi,hangnga16089950,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139390556284175131,Đúng vậy đó,2022-09-04 05:21:53,0,0,6590993378001879041,Phạm Văn Thái,phamvanthai1975,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139179952225829634,Đúng á,2022-09-03 15:45:12,0,0,6771753188309173250,TRANG HƠi MáCh🛌,tra_ng97,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139160181976892187,tỉnh thức giác ngộ satori đủ kiểu thoát khỏi dukkha thì đừng khuyên ai nuốt giun nhé😂,2022-09-03 14:27:53,0,0,6699266109041869826,Quách Văn Hiếu,quachvanhieu14111997,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139131145292415770,Mk khá may mắn từ nhỏ đến nay 21t mk gặp tai nạn đến giờ sức khỏe còn chưa phục hồi hzzz,2022-09-03 12:35:11,0,0,6836108185209832450,mewo,mieo2355,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139126520958321435,Đúng đó bạn.,2022-09-03 12:17:14,0,0,7060486703815885826,Lê Duy Hùng,leduyhung.vietnam,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7138836207467643675,Nam mô a di đà phật,2022-09-02 17:30:52,0,0,6636548459556683777,𝓝𝓰𝓪̂𝓷 𝓛𝓮𝓮,nganlee2602,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139106464005833499,t dùng hết rồi 😂,2022-09-03 10:59:22,0,0,6961844815567029250,Trở lại làm người,trolailamnguoi,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139097928643117851,đúng rồi ạ,2022-09-03 10:26:13,0,0,6608481779768950786,Nguyen_xinh_gai,nguyen_xinh_gai_,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139097005049807643,Nam Mô Bổn Sư Thích Ca Mâu Ni Phật🙏🙏Mình sẽ luôn tích cực và làm việc chăm chỉ,2022-09-03 10:22:42,0,0,6789534898844959746,♡ Sry ♡,sry_265,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139877276443132699,hay,2022-09-05 12:50:30,0,0,6980197644136924161,user7532430319191,user75324303191913,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139856288460751642,Hưởng phước bất khả hưởng tận.,2022-09-05 11:29:04,0,0,6879946704318546946,Liên Ngọc 🍀,kimngoc8484,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139125990529729306,Chị nói đúng rồi ạ,2022-09-03 12:15:09,0,0,6902682911045190658,Khoa Nguyễn,khoanguyenla34,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139117590618768154,rất thích em này,2022-09-03 11:42:36,0,0,7000545734701384705,Huegiac1981,huegiac1981,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139113559255139098,Đúng,2022-09-03 11:26:57,0,0,6604816528154525698,Trung Thiệu,trungthieu.mkt,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139112187725136667,vậy nếu ta cân bằng được phước đức thì ta có làm ác cũng ko gặp hỏa báo gì khi làm ác hoặc hưởng thụ phước sẽ mất đi thì chỉ cần bù lại 😌,2022-09-03 11:21:33,0,0,6610041210307231745,Thái Nguyễn,thainguyen2345678,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139109234498831131,e cũng suy nghĩ như vậy,2022-09-03 11:10:07,0,0,7015439839743968258,Bùi Quỳnh,buiibuiiii,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139098616610865946,Sâu sắc.,2022-09-03 10:28:59,0,0,6999467133949690881,Hải Đình FinTop 889,haidinhttc,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139084562885772058,"Phước cũng giống như thu nhập vậy đó,tiêu xài quá thu nhập là có chuyện😁",2022-09-03 09:34:25,0,0,6821753401539773442,Hương Diệu,mydieunguyen0211,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
7139063010441593627,"người xưa có câu ""phước bất khả hưởng tận""",2022-09-03 08:10:45,0,0,7084267134003987482,tinnguyenquang961,tinnguyenquang961,https://www.tiktok.com/@weshare.asia/video/7138737578051702042
